Common Name,Scientific Name,Poison Level,Danger Level,Behavior (Agitated),If Attacked,Category,Endemic,Region,Venom Type,Description
Asian Elephant,Elephas maximus maximus,Non-Venomous,High,"Charges, trumpets loudly, flares ears, and may use tusks and trunk for attack.","Seek immediate shelter behind a large tree or rock. If no cover is available, run in a zig-zag pattern.",Mammal,Yes,"Found throughout the island, but with higher concentrations in dry zone areas such as Udawalawe, Yala, and Minneriya National Parks.",None,"The Sri Lankan elephant (Elephas maximus maximus) is the largest and most iconic land mammal in Sri Lanka. Characterized by its smaller ears, less prominent tusks (often absent in females), and a distinctive depigmentation pattern on the trunk, ears, and face, this subspecies plays a vital role in its ecosystem as a seed disperser and ecosystem engineer. They inhabit a variety of habitats, from dense forests to open grasslands, and are herbivores, consuming large quantities of vegetation daily.  Their populations, however, face continuous threats due to habitat loss and human-elephant conflict."
Sri Lankan Leopard,Panthera pardus kotiya,Non-Venomous,High,"May exhibit warning signs such as growling, hissing, flattened ears, and tail twitching.  Likely to charge if cornered or threatened.","Make yourself appear large, shout loudly, and fight back aggressively. Do not play dead.",Mammal,Yes,"Island-wide, but higher densities in Yala and Wilpattu National Parks. Also found in various protected areas and even some human-dominated landscapes.",None,"The Sri Lankan leopard (Panthera pardus kotiya) is a powerful and elusive big cat endemic to Sri Lanka.  Distinguished by its tawny coat with dark rosettes, it occupies a diverse range of habitats, from dense rainforests to dry scrublands and even montane forests. As the apex predator in its ecosystem, the Sri Lankan leopard plays a crucial role in regulating prey populations, primarily consisting of sambar deer, spotted deer, wild boar, and monkeys.  Habitat loss and human-wildlife conflict are the biggest threats to this magnificent animal."
Sloth Bear,Melursus ursinus inornatus,Non-Venomous,High,"Highly aggressive, stands on hind legs, roars loudly, may charge.","Climb a tree or large rock if possible.  If unable, play dead and protect your head and neck. Do not run.",Mammal,Yes (Sri Lankan subspecies),"Dry zone, including North Western, North Central, Eastern, and parts of Uva provinces.",None,"The Sri Lankan sloth bear (Melursus ursinus inornatus) is a subspecies of sloth bear endemic to Sri Lanka. Characterized by its shaggy, dark brown or black fur, long snout, and white ""V"" or ""Y"" marking on the chest, it's adapted for a diet of insects, especially termites and bees, which it locates with its keen sense of smell and excavates with powerful claws. Sloth bears inhabit dry forests, scrublands, and grasslands, playing a role in seed dispersal and insect population control. They are primarily nocturnal and solitary, except for mothers with cubs.  Habitat loss and human-wildlife conflict pose significant threats to their survival."
Wild Boar,Sus scrofa,Non-Venomous,Moderate,"Becomes aggressive, charges, and uses tusks to inflict injury. May make loud grunting noises and display piloerection (raised hair).","Climb a tree or large rock if possible. If not possible, stand your ground and make yourself appear large and intimidating, shouting and waving your arms. Do not run away unless you are certain you can reach a safe distance quickly.",Mammal,No,"Island-wide, including all provinces, from coastal areas to higher elevations.",None,"The Sri Lankan wild boar (Sus scrofa) is a robust, medium-sized mammal with a thick, bristly coat that varies in color from brownish-black to reddish-brown.  They possess a prominent snout used for rooting in the ground for food. Males are generally larger than females and have prominent tusks protruding from their lower jaw.  Inhabiting a wide range of habitats including forests, grasslands, and scrublands, they are omnivorous, consuming fruits, roots, tubers, insects, and small vertebrates.  Wild boar play a crucial role in seed dispersal and nutrient cycling within their ecosystem, but can also cause crop damage and compete with domestic livestock for resources."
Sambar Deer,Rusa unicolor,Non-Venomous,Moderate,"May charge, especially if cornered or protecting young.  Can inflict serious injury with antlers and hooves.","Climb a tree or find other high ground. If impossible, curl into a fetal position and protect your head.",Mammal,"Yes, Sri Lankan Sambar (Rusa unicolor unicolor) is a subspecies endemic to Sri Lanka.","Throughout the island, including dry zone, wet zone, and montane forests.",None,"The Sri Lankan Sambar deer is the largest deer in Sri Lanka, characterized by its coarse, dark brown coat and impressive antlers in males. They inhabit a variety of habitats from dense forests to open grasslands and are primarily herbivorous, feeding on grasses, leaves, fruits, and bark. As a large herbivore, the Sambar plays a crucial role in the ecosystem by shaping vegetation and serving as prey for large predators like leopards and crocodiles.  Their presence indicates a healthy ecosystem.  Hunting and habitat loss are major threats to their population."
Spotted Deer   Chital,Axis axis ceylonensis,Non-Venomous,Low,May charge if cornered or protecting young.  Typically flee when threatened.,"Stand your ground, shout, and make yourself appear large.  Slowly back away.",Mammal,Yes,"Throughout the dry zone, particularly in national parks like Yala, Wilpattu, and Udawalawe.",None,"The Sri Lankan spotted deer, or Ceylon spotted deer (Axis axis ceylonensis), is a subspecies of chital deer endemic to Sri Lanka. These graceful herbivores are easily recognized by their reddish-brown coat adorned with white spots, which provide excellent camouflage in dappled forest light.  They inhabit dry zone forests, grasslands, and scrublands, playing a vital role in the ecosystem as both grazers and prey for larger predators like leopards and crocodiles.  They are social animals, living in herds of varying sizes."
Muntjac   Barking Deer,Muntiacus muntjak malabaricus,Non-Venomous,Low,"May bark loudly, stamp feet, and display tusks (males). Can charge if cornered.","Stand your ground, make yourself appear large, and shout.  Slowly back away without turning your back.",Mammal,Yes (subspecies *Muntiacus muntjak malabaricus*),"Wet zone forests, particularly in the southwestern regions (Sabaragamuwa and Southern).",None,"The Sri Lankan muntjac, or barking deer, is a small deer species recognizable by its reddish-brown coat, small antlers in males, and prominent tusks. They inhabit dense, humid forests, often near water sources.  Primarily browsers, they feed on leaves, fruits, and grasses, playing a role in seed dispersal and vegetation control. Their distinctive bark serves as an alarm call, warning other animals of potential danger. They are solitary or found in small family groups."
Mouse Deer   Chevrotain,Moschiola meminna,Non-Venomous,Low,"May flee quickly or freeze, possibly stamping their feet.  Males may use their tusks if cornered.",Give it space to escape.  Their tusks can cause minor injury.,Mammal,Yes,"Throughout the island, but more common in dry zone forests and scrublands.",None,"The Sri Lankan mouse-deer, or chevrotain, *Moschiola meminna*, is a small, hoofed mammal resembling a tiny deer but more closely related to camels and pigs.  They are shy and solitary creatures, predominantly nocturnal, preferring dense undergrowth in a variety of habitats, from forests and grasslands to home gardens. They are herbivorous, feeding on fruits, leaves, and shoots, playing a vital role in seed dispersal.  Males possess small tusks used for defense and competition during mating season.  Their reddish-brown coat provides excellent camouflage in their environment. While hunted for meat in some areas, they remain a relatively common sight in Sri Lanka."
Toque Macaque,Macaca sinica,Non-Venomous,Moderate,"May display aggressive behaviors like baring teeth, charging, or throwing objects.","Avoid eye contact, back away slowly without making sudden movements, and do not try to feed or interact with the macaque. Seek medical attention if bitten.",Mammal,Yes,"Throughout the island, but more common in forested areas of all regions including dry zone, wet zone, and hill country.",None,"The Toque Macaque (Macaca sinica), recognizable by its reddish-brown fur and prominent ""toque"" of hair on its head, is a highly adaptable primate found across various habitats in Sri Lanka, from urban areas to rainforests.  These diurnal omnivores play a vital role in seed dispersal and forest regeneration, consuming fruits, leaves, insects, and small vertebrates.  They live in complex social groups with hierarchical structures, often exhibiting opportunistic and sometimes aggressive behavior when seeking food or defending territory.  Their adaptability and resourcefulness have allowed them to thrive despite habitat loss and human encroachment, but also lead to human-wildlife conflict."
Grey Langur   Hanuman Langur,Semnopithecus priam thersites,Non-Venomous,Low,"May display aggressive postures like baring teeth, shaking branches, and loud vocalizations.  Troops may throw objects.","Maintain distance, avoid eye contact, and back away slowly. Do not threaten or corner them.",Mammal,Yes,"Dry Zone (North Western, North Central, Eastern, and parts of Uva)",None,"The Grey Langur or Hanuman Langur (Semnopithecus priam thersites) is a slender, long-tailed primate endemic to Sri Lanka's dry zone. They possess a greyish-brown coat with a darker face and a whitish ruff around the face. Primarily arboreal, these diurnal herbivores inhabit forests, woodlands, and even urban areas. They play a vital role in seed dispersal and forest regeneration. Troops, consisting of multiple females and a dominant male, maintain a complex social structure. While generally peaceful, they can become agitated if they feel threatened, particularly near their young."
